SNR[dB],BER
0.0,0.1174196875
4.0,0.0414359765625
8.0,0.0069028125
12.0,0.0004414453125
16.0,1.2734375e-05
20.0,1.953125e-07
24.0,0.0
28.0,0.0
32.0,0.0
36.0,0.0
40.0,0.0
