SNR[dB],BER
0.0,0.1138734375
4.0,0.0282700390625
8.0,0.0017115234375
12.0,2.1953125e-05
16.0,1.5625e-07
20.0,0.0
24.0,0.0
28.0,0.0
32.0,0.0
36.0,0.0
40.0,0.0
